date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:31	35606/35606	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:03%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/about/05.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/about/05.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-03.html)
11:24:31	138150/138150	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:04%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/about/06.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/about/06.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-03.html)
11:24:32	98050/98050	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:51%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/project/01.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/project/01.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-03.html)
11:24:32	383279/383279	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:08%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/about/14.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/about/14.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-03.html)
11:24:32	261880/261880	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:20%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/bg/01.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/bg/01.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-03.html)
11:24:33	124970/124970	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:54%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/project/07.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/project/07.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-03.html)
11:24:33	66618/66618	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jul%202021%2010:15:25%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/bg/map-bg.png	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/bg/map-bg.png	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-03.html)
11:24:33	17030/17030	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:06%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/microsoft-net.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/microsoft-net.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:33	884/884	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:06%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/javascript.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/javascript.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:33	4844/4844	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:06%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/microsoft-sql-server.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/microsoft-sql-server.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
